Family,Identifier,Sort-As,Security Requirement,Assessment Objective,Potential Assessment Method and Objects: Examine,Potential Assessment Method and Objects: Interview,Potential Assessment Method and Objects: Test
Configuration Management,3.4.2,03.04.02.0,Establish and enforce security configuration settings for information technology products employed in organizational systems.,Determine if:,[SELECT FROM:  Configuration management policy; procedures addressing configuration settings for the system; configuration management plan; security plan; system design documentation; system configuration settings and associated documentation; security configuration checklists; evidence supporting approved deviations from established configuration settings; change control records; system audit logs and records; other relevant documents or records].,[SELECT FROM: Personnel with security configuration management responsibilities; personnel with information security responsibilities; system or network administrators].,"[SELECT FROM: Organizational processes for managing configuration settings; mechanisms that implement, monitor, and/or control system configuration settings; mechanisms that identify and/or document deviations from established configuration settings]."
Configuration Management,3.4.2[a],03.04.02.a,,security configuration settings for information technology products employed in the system are established and included in the baseline configuration.,,,
Configuration Management,3.4.2[b],03.04.02.b,,security configuration settings for information technology products employed in the system are enforced.,,,
Configuration Management,3.4.3,03.04.03.0,"Track, review, approve or disapprove, and log changes to organizational systems.",Determine if:,[SELECT FROM: Configuration management policy; procedures addressing system configuration change control; configuration management plan; system architecture and configuration documentation; security plan; change control records; system audit logs and records; change control audit and review reports; agenda/minutes from configuration change control oversight meetings; other relevant documents or records].,[SELECT FROM: Personnel with configuration change control responsibilities; personnel with information security responsibilities; system or network administrators; members of change control board or similar].,[SELECT FROM: Organizational processes for configuration change control; mechanisms that implement configuration change control].
Configuration Management,3.4.3[a],03.04.03.a,,changes to the system are tracked.,,,
Configuration Management,3.4.3[b],03.04.03.b,,changes to the system are reviewed.,,,
Configuration Management,3.4.3[c],03.04.03.c,,changes to the system are approved or disapproved.,,,
Configuration Management,3.4.3[d],03.04.03.d,,changes to the system are logged.,,,
Configuration Management,3.4.4,03.04.04.0,Analyze the security impact of changes prior to implementation.,Determine if the security impact of changes to each organizational system is analyzed prior to implementation.,[SELECT FROM: Configuration management policy; procedures addressing security impact analysis for changes to the system; configuration management plan; security impact analysis documentation; security plan; analysis tools and associated outputs; change control records; system audit logs and records; other relevant documents or records].,[SELECT FROM: Personnel with responsibility for conducting security impact analysis; personnel with information security responsibilities; system or network administrators].,[SELECT FROM: Organizational processes for security impact analysis].
Configuration Management,3.4.5,03.04.05.0,"Define, document, approve, and enforce physical and logical access restrictions associated with changes to organizational systems.",Determine if:,[SELECT FROM: Configuration management policy; procedures addressing access restrictions for changes to the system; security plan; configuration management plan; system design documentation; system architecture and configuration documentation; system configuration settings and associated documentation; logical access approvals; physical access approvals; access credentials; change control records; system audit logs and records; other relevant documents or records].,[SELECT FROM: Personnel with logical access control responsibilities; personnel with physical access control responsibilities; personnel with information security responsibilities; system or network administrators].,"[SELECT FROM: Organizational processes for managing access restrictions associated with changes to the system; mechanisms supporting, implementing, and enforcing access restrictions associated with changes to the system]."
Configuration Management,3.4.5[a],03.04.05.a,,physical access restrictions associated with changes to the system are defined.,,,
Configuration Management,3.4.5[b],03.04.05.b,,physical access restrictions associated with changes to the system are documented.,,,
Configuration Management,3.4.5[c],03.04.05.c,,physical access restrictions associated with changes to the system are approved.,,,
Configuration Management,3.4.5[d],03.04.05.d,,physical access restrictions associated with changes to the system are enforced.,,,
Configuration Management,3.4.5[e],03.04.05.e,,logical access restrictions associated with changes to the system are defined.,,,
Configuration Management,3.4.5[f],03.04.05.f,,logical access restrictions associated with changes to the system are documented.,,,
Configuration Management,3.4.5[g],03.04.05.g,,logical access restrictions associated with changes to the system are approved.,,,
Configuration Management,3.4.5[h],03.04.05.h,,logical access restrictions associated with changes to the system are enforced.,,,
Configuration Management,3.4.6,03.04.06.0,Employ the principle of least functionality by configuring organizational systems to provide only essential capabilities.,Determine if:,[SELECT FROM: Configuration management policy; configuration management plan; procedures addressing least functionality in the system; security plan; system design documentation; system configuration settings and associated documentation; security configuration checklists; other relevant documents or records].,[SELECT FROM: Personnel with security configuration management responsibilities; personnel with information security responsibilities; system or network administrators].,"[SELECT FROM: Organizational processes prohibiting or restricting functions, ports, protocols, or services; mechanisms implementing restrictions or prohibition of functions, ports, protocols, or services]."
Configuration Management,3.4.6[a],03.04.06.a,,essential system capabilities are defined based on the principle of least functionality.,,,
Configuration Management,3.4.6[b],03.04.06.b,,the system is configured to provide only the defined essential capabilities.,,,
Configuration Management,3.4.7,03.04.07.0,"Restrict, disable, or prevent the use of nonessential programs, functions, ports, protocols, and services.",Determine if:,"[SELECT FROM: Configuration management policy; procedures addressing least functionality in the system; configuration management plan; security plan; system design documentation; system configuration settings and associated documentation;  specifications for preventing software program execution; security configuration checklists; documented reviews of programs, functions, ports, protocols, and/or services; change control records; system audit logs and records; other relevant documents or records].","[SELECT FROM: Personnel with responsibilities for reviewing programs, functions, ports, protocols, and services on the system; personnel with information security responsibilities; system or network administrators; system developers].","[SELECT FROM: Organizational processes for reviewing and disabling nonessential programs, functions, ports, protocols, or services; mechanisms implementing review and handling of nonessential programs, functions, ports, protocols, or services; organizational processes preventing program execution on the system; organizational processes for software program usage and restrictions; mechanisms supporting or implementing software program usage and restrictions; mechanisms preventing program execution on the system]."
Configuration Management,3.4.7[a],03.04.07.a,,essential programs are defined.,,,
Configuration Management,3.4.7[b],03.04.07.b,,the use of nonessential programs is defined.,,,
Configuration Management,3.4.7[c],03.04.07.c,,"the use of nonessential programs is restricted, disabled, or prevented as defined. ",,,
Configuration Management,3.4.7[d],03.04.07.d,,essential functions are defined.,,,
Configuration Management,3.4.7[e],03.04.07.e,,the use of nonessential functions is defined.,,,
Configuration Management,3.4.7[f],03.04.07.f,,"the use of nonessential functions is restricted, disabled, or prevented as defined. ",,,
Configuration Management,3.4.7[g],03.04.07.g,,essential ports are defined.,,,
Configuration Management,3.4.7[h],03.04.07.h,,the use of nonessential ports is defined.,,,
Configuration Management,3.4.7[i],03.04.07.i,,"the use of nonessential ports is restricted, disabled, or prevented as defined. ",,,
Configuration Management,3.4.7[j],03.04.07.j,,essential protocols are defined.,,,
Configuration Management,3.4.7[k],03.04.07.k,,the use of nonessential protocols is defined.,,,
Configuration Management,3.4.7[l],03.04.07.l,,"the use of nonessential protocols is restricted, disabled, or prevented as defined. ",,,
Configuration Management,3.4.7[m],03.04.07.m,,essential services are defined.,,,
Configuration Management,3.4.7[n],03.04.07.n,,the use of nonessential services is defined.,,,
Configuration Management,3.4.7[o],03.04.07.o,,"the use of nonessential services is restricted, disabled, or prevented as defined. ",,,
Configuration Management,3.4.8,03.04.08.0,"Apply deny-by-exception (blacklisting) policy to prevent the use of unauthorized software or deny-all, permit-by-exception (whitelisting) policy to allow the execution of authorized software.",Determine if:,[SELECT FROM: Configuration management policy; procedures addressing least functionality in the system; security plan; configuration management plan; system design documentation; system configuration settings and associated documentation; list of software programs not authorized to execute on the system; list of software programs authorized to execute on the system; security configuration checklists; review and update records associated with list of authorized or unauthorized software programs; change control records; system audit logs and records; other relevant documents or records].,[SELECT FROM: Personnel with responsibilities for identifying software authorized or not authorized to execute on the system; personnel with information security responsibilities; system or network administrators].,"[SELECT FROM: Organizational process for identifying, reviewing, and updating programs authorized or not authorized to execute on the system; process for implementing blacklisting or whitelisting; mechanisms supporting or implementing blacklisting or whitelisting]."
Configuration Management,3.4.8[a],03.04.08.a,,a policy specifying whether whitelisting or blacklisting is to be implemented is specified.,,,
Configuration Management,3.4.8[b],03.04.08.b,,the software allowed to execute under whitelisting or denied use under blacklisting is specified. ,,,
Configuration Management,3.4.8[c],03.04.08.c,,whitelisting to allow the execution of authorized software or blacklisting to prevent the use of unauthorized software is implemented as specified. ,,,
Configuration Management,3.4.9,03.04.09.0,Control and monitor user-installed software.,Determine if:,[SELECT FROM: Configuration management policy; procedures addressing user installed software; configuration management plan; security plan; system design documentation; system configuration settings and associated documentation; list of rules governing user-installed software; system monitoring records; system audit logs and records; continuous monitoring strategy; other relevant documents or records].,"[SELECT FROM: Personnel with responsibilities for governing user-installed software; personnel operating, using, or maintaining the system; personnel monitoring compliance with user-installed software policy; personnel with information security responsibilities; system or network administrators].",[SELECT FROM: Organizational processes governing user-installed software on the system; mechanisms enforcing rules or methods for governing the installation of software by users; mechanisms monitoring policy compliance].
Configuration Management,3.4.9[a],03.04.09.a,,a policy for controlling the installation of software by users is established.,,,
Configuration Management,3.4.9[b],03.04.09.b,,installation of software by users is controlled based on the established policy.,,,
Configuration Management,3.4.9[c],03.04.09.c,,installation of software by users is monitored.,,,
Identification and Authentication,3.5.1,03.05.01.0,"Identify system users, processes acting on behalf of users, and devices.",Determine if:,"[SELECT FROM: Identification and authentication policy; procedures addressing user identification and authentication; security plan, system design documentation; system configuration settings and associated documentation; system audit logs and records; list of system accounts; other relevant documents or records].",[SELECT FROM: Personnel with system operations responsibilities; personnel with information security responsibilities; system or network administrators; personnel with account management responsibilities; system developers].,[SELECT FROM: Organizational processes for uniquely identifying and authenticating users; mechanisms supporting or implementing identification and authentication capability].
Identification and Authentication,3.5.1[a],03.05.01.a,,system users are identified.,,,
Identification and Authentication,3.5.1[b],03.05.01.b,,processes acting on behalf of users are identified.,,,
Identification and Authentication,3.5.1[c],03.05.01.c,,devices accessing the system are identified. ,,,
Identification and Authentication,3.5.2,03.05.02.0,"Authenticate (or verify) the identities of users, processes, or devices, as a prerequisite to allowing access to organizational systems",Determine if:,[SELECT FROM: Identification and authentication policy; procedures addressing authenticator management; security plan; system design documentation; system configuration settings and associated documentation; list of system authenticator types; change control records associated with managing system authenticators; system audit logs and records; other relevant documents or records].,[SELECT FROM: Personnel with authenticator management responsibilities; personnel with information security responsibilities; system or network administrators].,[SELECT FROM: Mechanisms supporting or implementing authenticator management capability].
Identification and Authentication,3.5.2[a],03.05.02.a,,the identity of each user is authenticated or verified as a prerequisite to system access.,,,
Identification and Authentication,3.5.2[b],03.05.02.b,,the identity of each process acting on behalf of a user is authenticated or verified as a prerequisite to system access.,,,
Identification and Authentication,3.5.2[c],03.05.02.c,,the identity of each device accessing or connecting to the system is authenticated or verified as a prerequisite to system access.,,,
Identification and Authentication,3.5.3,03.05.03.0,Use multifactor authentication for local and network access to privileged accounts and for network access to non-privileged accounts.,Determine if:,[SELECT FROM: Identification and authentication policy; procedures addressing user identification and authentication; security plan; system design documentation; system configuration settings and associated documentation; system audit logs and records; list of system accounts; other relevant documents or records].,[SELECT FROM: Personnel with system operations responsibilities; personnel with account management responsibilities; personnel with information security responsibilities; system or network administrators; system developers].,[SELECT FROM: Mechanisms supporting or implementing multifactor authentication capability].
Identification and Authentication,3.5.3[a],03.05.03.a,,privileged accounts are identified.,,,
Identification and Authentication,3.5.3[b],03.05.03.b,,multifactor authentication is implemented for local access to privileged accounts.,,,
Identification and Authentication,3.5.3[c],03.05.03.c,,multifactor authentication is implemented for network access to privileged accounts.,,,
Identification and Authentication,3.5.3[d],03.05.03.d,,multifactor authentication is implemented for network access to non-privileged accounts.,,,
Identification and Authentication,3.5.4,03.05.04.0,Employ replay-resistant authentication mechanisms for network access to privileged and non-privileged accounts.,Determine if replay-resistant authentication mechanisms are implemented for all network account access to privileged and non-privileged accounts.,[SELECT FROM: Identification and authentication policy; procedures addressing user identification and authentication; security plan; system design documentation; system configuration settings and associated documentation; system audit logs and records; list of privileged system accounts; other relevant documents or records].,[SELECT FROM: Personnel with system operations responsibilities; personnel with account management responsibilities; personnel with information security responsibilities; system or network administrators; system developers].,[SELECT FROM: Mechanisms supporting or implementing identification and authentication capability or replay resistant authentication mechanisms].
Identification and Authentication,3.5.5,03.05.05.0,Prevent reuse of identifiers for a defined period.,Determine if:,[SELECT FROM: Identification and authentication policy; procedures addressing identifier management; procedures addressing account management; security plan; system design documentation; system configuration settings and associated documentation; list of system accounts; list of identifiers generated from physical access control devices; other relevant documents or records].,[SELECT FROM: Personnel with identifier management responsibilities; personnel with information security responsibilities; system or network administrators; system developers].,[SELECT FROM: Mechanisms supporting or implementing identifier management].
Identification and Authentication,3.5.5[a],03.05.05.a,,a period within which identifiers cannot be reused is defined.,,,
Identification and Authentication,3.5.5[b],03.05.05.b,,reuse of identifiers is prevented within the defined period.,,,
Identification and Authentication,3.5.6,03.05.06.0,Disable identifiers after a defined period of inactivity.,Determine if:,[SELECT FROM: Identification and authentication policy; procedures addressing identifier management; procedures addressing account management; security plan; system design documentation; system configuration settings and associated documentation; list of system accounts; list of identifiers generated from physical access control devices; other relevant documents or records].,[SELECT FROM: Personnel with identifier management responsibilities; personnel with information security responsibilities; system or network administrators; system developers].,[SELECT FROM: Mechanisms supporting or implementing identifier management].
Identification and Authentication,3.5.6[a],03.05.06.a,,a period of inactivity after which an identifier is disabled is defined.,,,
Identification and Authentication,3.5.6[b],03.05.06.b,,identifiers are disabled after the defined period of inactivity.,,,
Identification and Authentication,3.5.7,03.05.07.0,Enforce a minimum password complexity and change of characters when new passwords are created.,Determine if:,[SELECT FROM: Identification and authentication policy; password policy; procedures addressing authenticator management; security plan; system design documentation; system configuration settings and associated documentation; password configurations and associated documentation; other relevant documents or records].,[SELECT FROM: Personnel with authenticator management responsibilities; personnel with information security responsibilities; system or network administrators; system developers].,[SELECT FROM: Mechanisms supporting or implementing password-based authenticator management capability].
Identification and Authentication,3.5.7[a],03.05.07.a,,password complexity requirements are defined.,,,
Identification and Authentication,3.5.7[b],03.05.07.b,,password change of character requirements are defined.,,,
Identification and Authentication,3.5.7[c],03.05.07.c,,minimum password complexity requirements as defined are enforced when new passwords are created.,,,
Identification and Authentication,3.5.7[d],03.05.07.d,,minimum password change of character requirements as defined are enforced when new passwords are created.,,,
Identification and Authentication,3.5.8,03.05.08.0,Prohibit password reuse for a specified number of generations.,Determine if:,[SELECT FROM: Identification and authentication policy; password policy; procedures addressing authenticator management; security plan; system design documentation; system configuration settings and associated documentation; password configurations and associated documentation; other relevant documents or records].,[SELECT FROM: Personnel with authenticator management responsibilities; personnel with information security responsibilities; system or network administrators; system developers].,[SELECT FROM: Mechanisms supporting or implementing password-based authenticator management capability].
Identification and Authentication,3.5.8[a],03.05.08.a,,the number of generations during which a password cannot be reused is specified.,,,
Identification and Authentication,3.5.8[b],03.05.08.b,,reuse of passwords is prohibited during the specified number of generations.,,,
Identification and Authentication,3.5.9,03.05.09.0,Allow temporary password use for system logons with an immediate change to a permanent password,Determine if an immediate change to a permanent password is required when a temporary password is used for system logon.,[SELECT FROM: Identification and authentication policy; password policy; procedures addressing authenticator management; security plan; system design documentation; system configuration settings and associated documentation; password configurations and associated documentation; other relevant documents or records].,[SELECT FROM: Personnel with authenticator management responsibilities; personnel with information security responsibilities; system or network administrators; system developers].,[SELECT FROM: Mechanisms supporting or implementing password-based authenticator management capability].
Identification and Authentication,3.5.10,03.05.10.0,Store and transmit only cryptographically-protected passwords.,Determine if:,[SELECT FROM: Identification and authentication policy; password policy; procedures addressing authenticator management; security plan; system design documentation; system configuration settings and associated documentation; password configurations and associated documentation; other relevant documents or records].,[SELECT FROM: Personnel with authenticator management responsibilities; personnel with information security responsibilities; system or network administrators; system developers].,[SELECT FROM: Mechanisms supporting or implementing password-based authenticator management capability].
Identification and Authentication,3.5.10[a],03.05.10.a,,passwords are cryptographically protected in storage.,,,
Identification and Authentication,3.5.10[b],03.05.10.b,,passwords are cryptographically protected in transit.,,,
Identification and Authentication,3.5.11,03.05.11.0,Obscure feedback of authentication information.,Determine if authentication information is obscured during the authentication process.,[SELECT FROM: Identification and authentication policy; procedures addressing authenticator feedback; security plan; system design documentation; system configuration settings and associated documentation; system audit logs and records; other relevant documents or records].,[SELECT FROM: Personnel with information security responsibilities; system or network administrators; system developers].,[SELECT FROM:  Mechanisms supporting or implementing the obscuring of feedback of authentication information during authentication].
Incident Response,3.6.1,03.06.01.0,"Establish an operational incident-handling capability for organizational systems that includes preparation, detection, analysis, containment, recovery, and user response activities.",Determine if:,[SELECT FROM: Incident response policy; contingency planning policy; procedures addressing incident handling; procedures addressing incident response assistance; incident response plan; contingency plan; security plan; procedures addressing incident response training; incident response training curriculum; incident response training materials; incident response training records; other relevant documents or records].,[SELECT FROM: Personnel with incident handling responsibilities; personnel with contingency planning responsibilities; personnel with incident response training and operational responsibilities; personnel with incident response assistance and support responsibilities; personnel with access to incident response support and assistance capability; personnel with information security responsibilities].,[SELECT FROM: Incident-handling capability for the organization; organizational processes for incident response assistance; mechanisms supporting or implementing incident response assistance].
Incident Response,3.6.1[a],03.06.01.a,,an operational incident-handling capability is established.,,,
Incident Response,3.6.1[b],03.06.01.b,,the operational incident-handling capability includes preparation. ,,,
Incident Response,3.6.1[c],03.06.01.c,,the operational incident-handling capability includes detection. ,,,
Incident Response,3.6.1[d],03.06.01.d,,the operational incident-handling capability includes analysis.,,,
Incident Response,3.6.1[e],03.06.01.e,,the operational incident-handling capability includes containment.,,,
Incident Response,3.6.1[f],03.06.01.f,,the operational incident-handling capability includes recovery.,,,
Incident Response,3.6.1[g],03.06.01.g,,the operational incident-handling capability includes user response activities.,,,
Incident Response,3.6.2,03.06.02.0,"Track, document, and report incidents to designated officials and/or authorities both internal and external to the organization.",Determine if:,[SELECT FROM: Incident response policy; procedures addressing incident monitoring; incident response records and documentation; procedures addressing incident reporting; incident reporting records and documentation; incident response plan; security plan; other relevant documents or records].,[SELECT FROM: Personnel with incident monitoring responsibilities; personnel with incident reporting responsibilities; personnel who have or should have reported incidents; personnel (authorities) to whom incident information is to be reported; personnel with information security responsibilities].,[SELECT FROM: Incident monitoring capability for the organization; mechanisms supporting or implementing tracking and documenting of system security incidents; organizational processes for incident reporting; mechanisms supporting or implementing incident reporting].
Incident Response,3.6.2[a],03.06.02.a,,incidents are tracked.,,,
Incident Response,3.6.2[b],03.06.02.b,,incidents are documented.,,,
Incident Response,3.6.2[c],03.06.02.c,,authorities to whom incidents are to be reported are identified.,,,
Incident Response,3.6.2[d],03.06.02.d,,organizational officials to whom incidents are to be reported are identified.,,,
Incident Response,3.6.2[e],03.06.02.e,,identified authorities are notified of incidents.,,,
Incident Response,3.6.2[f],03.06.02.f,,identified organizational officials are notified of incidents.,,,
Incident Response,3.6.3,03.06.03.0,Test the organizational incident response capability.,Determine if the incident response capability is tested.,[SELECT FROM: Incident response policy; contingency planning policy; procedures addressing incident response testing; procedures addressing contingency plan testing; incident response testing material; incident response test results; incident response test plan; incident response plan; contingency plan; security plan; other relevant documents or records].,[SELECT FROM: Personnel with incident response testing responsibilities; personnel with information security responsibilities].,
Maintenance,3.7.1,03.07.01.0,Perform maintenance on organizational systems.,Determine if system maintenance is performed.,[SELECT FROM: System maintenance policy; procedures addressing controlled system maintenance; maintenance records; manufacturer or vendor maintenance specifications; equipment sanitization records; media sanitization records; security plan; other relevant documents or records].,[select from: Personnel with system maintenance responsibilities; personnel with information security responsibilities; personnel responsible for media sanitization; system or network administrators].,"[SELECT FROM: Organizational processes for scheduling, performing, documenting, reviewing, approving, and monitoring maintenance and repairs for systems; organizational processes for sanitizing system components; mechanisms supporting or implementing controlled maintenance; mechanisms implementing sanitization of system components]."
Maintenance,3.7.2,03.07.02.0,"Provide controls on the tools, techniques, mechanisms, and personnel used to conduct system maintenance. ",Determine if:,[SELECT FROM: System maintenance policy; procedures addressing system maintenance tools and media; maintenance records; system maintenance tools and associated documentation; maintenance tool inspection records; security plan; other relevant documents or records].,[SELECT FROM: Personnel with system maintenance responsibilities; personnel with information security responsibilities].,"[SELECT FROM: Organizational processes for approving, controlling, and monitoring maintenance tools; mechanisms supporting or implementing approval, control, and monitoring of maintenance tools; organizational processes for inspecting maintenance tools; mechanisms supporting or implementing inspection of maintenance tools; organizational process for inspecting media for malicious code; mechanisms supporting or implementing inspection of media used for maintenance]."
Maintenance,3.7.2[a],03.07.02.a,,tools used to conduct system maintenance are controlled.,,,
Maintenance,3.7.2[b],03.07.02.b,,techniques used to conduct system maintenance are controlled.,,,
Maintenance,3.7.2[c],03.07.02.c,,mechanisms used to conduct system maintenance are controlled.,,,
Maintenance,3.7.2[d],03.07.02.d,,personnel used to conduct system maintenance are controlled.,,,
Maintenance,3.7.3,03.07.03.0,Ensure equipment removed for off-site maintenance is sanitized of any CUI.,Determine if equipment to be removed from organizational spaces for off-site maintenance is sanitized of any CUI.,[SELECT FROM: System maintenance policy; procedures addressing controlled system maintenance; maintenance records; manufacturer or vendor maintenance specifications; equipment sanitization records; media sanitization records; security plan; other relevant documents or records].,[SELECT FROM: Personnel with system maintenance responsibilities; personnel with information security responsibilities; personnel responsible for media sanitization; system or network administrators].,"[select from: Organizational processes for scheduling, performing, documenting, reviewing, approving, and monitoring maintenance and repairs for systems; organizational processes for sanitizing system components; mechanisms supporting or implementing controlled maintenance; mechanisms implementing sanitization of system components]."
Maintenance,3.7.4,03.07.04.0,Check media containing diagnostic and test programs for malicious code before the media are used in organizational systems,"Determine if media containing diagnostic and test programs are checked for malicious code before being used in organizational systems that process, store, or transmit CUI.",[SELECT FROM: System maintenance policy; procedures addressing system maintenance tools; system maintenance tools and associated documentation; maintenance records; security plan; other relevant documents or records].,[SELECT FROM: Personnel with system maintenance responsibilities; personnel with information security responsibilities].,[select from:  Organizational process for inspecting media for malicious code; mechanisms supporting or implementing inspection of media used for maintenance].
Maintenance,3.7.5,03.07.05.0,Require multifactor authentication to establish nonlocal maintenance sessions via external network connections and terminate such connections when nonlocal maintenance is complete. ,Determine if:,[SELECT FROM: System maintenance policy; procedures addressing nonlocal system maintenance; security plan; system design documentation; system configuration settings and associated documentation; maintenance records; diagnostic records; other relevant documents or records].,[SELECT FROM: Personnel with system maintenance responsibilities; personnel with information security responsibilities; system or network administrators].,"[select from: Organizational processes for managing nonlocal maintenance; mechanisms implementing, supporting, and managing nonlocal maintenance; mechanisms for strong authentication of nonlocal maintenance diagnostic sessions; mechanisms for terminating nonlocal maintenance sessions and network connections]."
Maintenance,3.7.5[a],03.07.05.a,,multifactor authentication is required to establish nonlocal maintenance sessions via external network connections.,,,
Maintenance,3.7.5[b],03.07.05.b,,nonlocal maintenance sessions established via external network connections are terminated when nonlocal maintenance is complete.,,,
Maintenance,3.7.6,03.07.06.0,Supervise the maintenance activities of maintenance personnel without required access authorization.,Determine if maintenance personnel without required access authorization are supervised during maintenance activities.,[SELECT FROM: System maintenance policy; procedures addressing maintenance personnel; service provider contracts; service-level agreements; list of authorized personnel; maintenance records; access control records; security plan; other relevant documents or records].,[SELECT FROM: Personnel with system maintenance responsibilities; personnel with information security responsibilities].,[SELECT FROM:  Organizational processes for authorizing and managing maintenance personnel; mechanisms supporting or implementing authorization of maintenance personnel].
Media Protection,3.8.1,03.08.01.0,"Protect (i.e., physically control and securely store) system media containing CUI, both paper and digital.",Determine if:,[SELECT FROM: System media protection policy; procedures addressing media access restrictions; access control policy and procedures; physical and environmental protection policy and procedures; security plan; media storage facilities; access control records; other relevant documents or records].,[SELECT FROM: Personnel with system media protection responsibilities; personnel with information security responsibilities; system or network administrators].,[SELECT FROM: Organizational processes for restricting information media; mechanisms supporting or implementing media access restrictions].
Media Protection,3.8.1[a],03.08.01.a,,paper media containing CUI is physically controlled.,,,
Media Protection,3.8.1[b],03.08.01.b,,digital media containing CUI is physically controlled.,,,
Media Protection,3.8.1[c],03.08.01.c,,paper media containing CUI is securely stored.,,,
Media Protection,3.8.1[d],03.08.01.d,,digital media containing CUI is securely stored.,,,
Media Protection,3.8.2,03.08.02.0,Limit access to CUI on system media to authorized users.,Determine if access to CUI on system media is limited to authorized users.,[SELECT FROM: System media protection policy; procedures addressing media storage; physical and environmental protection policy and procedures; access control policy and procedures; security plan; system media; designated controlled areas; other relevant documents or records].,[SELECT FROM: Personnel with system media protection and storage responsibilities; personnel with information security responsibilities].,[SELECT FROM: Organizational processes for storing media; mechanisms supporting or implementing secure media storage and media protection].
Media Protection,3.8.3,03.08.03.0,Sanitize or destroy system media containing CUI before disposal or release for reuse.,Determine if:,[SELECT FROM: System media protection policy; procedures addressing media sanitization and disposal; applicable standards and policies addressing media sanitization; security plan; media sanitization records; system audit logs and records; system design documentation; system configuration settings and associated documentation; other relevant documents or records].,[SELECT FROM: Personnel with media sanitization responsibilities; personnel with information security responsibilities; system or network administrators].,[SELECT FROM: Organizational processes for media sanitization; mechanisms supporting or implementing media sanitization].
Media Protection,3.8.3[a],03.08.03.a,,system media containing CUI is sanitized or destroyed before disposal.,,,
Media Protection,3.8.3[b],03.08.03.b,,system media containing CUI is sanitized before it is released for reuse.,,,
Media Protection,3.8.4,03.08.04.0,Mark media with necessary CUI markings and distribution limitations.,Determine if:,[SELECT FROM: System media protection policy; procedures addressing media marking; physical and environmental protection policy and procedures; security plan; list of system media marking security attributes; designated controlled areas; other relevant documents or records].,[SELECT FROM: Personnel with system media protection and marking responsibilities; personnel with information security responsibilities].,[SELECT FROM: Organizational processes for marking information media; mechanisms supporting or implementing media marking].
Media Protection,3.8.4[a],03.08.04.a,,media containing CUI is marked with applicable CUI markings.,,,
Media Protection,3.8.4[b],03.08.04.b,,media containing CUI is marked with distribution limitations.,,,
Media Protection,3.8.5,03.08.05.0,Control access to media containing CUI and maintain accountability for media during transport outside of controlled areas.,Determine if:,SELECT FROM: System media protection policy; procedures addressing media storage; physical and environmental protection policy and procedures; access control policy and procedures; security plan; system media; designated controlled areas; other relevant documents or records]., [SELECT FROM: Personnel with system media protection and storage responsibilities; personnel with information security responsibilities; system or network administrators].,[SELECT FROM: Organizational processes for storing media; mechanisms supporting or implementing media storage and media protection].
Media Protection,3.8.5[a],03.08.05.a,,access to media containing CUI is controlled.,,,
Media Protection,3.8.5[b],03.08.05.b,,accountability for media containing CUI is maintained during transport outside of controlled areas.,,,
