Family,Identifier,Sort-As,Security Requirement,Assessment Objective,Potential Assessment Method and Objects: Examine,Potential Assessment Method and Objects: Interview,Potential Assessment Method and Objects: Test
System and Communications Protection,3.13.1,03.13.01.0,"Monitor, control, and protect communications (i.e., information transmitted or received by organizational systems) at the external boundaries and key internal boundaries of organizational systems. ",Determine if:,[SELECT FROM: System and communications protection policy; procedures addressing boundary protection; security plan; list of key internal boundaries of the system; system design documentation; boundary protection hardware and software; enterprise security architecture documentation; system audit logs and records; system configuration settings and associated documentation; other relevant documents or records]. ,[SELECT FROM: System or network administrators; personnel with information security responsibilities; system developer; personnel with boundary protection responsibilities]. ,[SELECT FROM: Mechanisms implementing boundary protection capability].
System and Communications Protection,3.13.1[a],03.13.01.a,,the external system boundary is defined. ,,,
System and Communications Protection,3.13.1[b],03.13.01.b,,key internal system boundaries are defined.,,,
System and Communications Protection,3.13.1[c],03.13.01.c,,communications are monitored at the external system boundary.,,,
System and Communications Protection,3.13.1[d],03.13.01.d,,communications are monitored at key internal boundaries.,,,
System and Communications Protection,3.13.1[e],03.13.01.e,,communications are controlled at the external system boundary.,,,
System and Communications Protection,3.13.1[f],03.13.01.f,,communications are controlled at key internal boundaries.,,,
System and Communications Protection,3.13.1[g],03.13.01.g,,communications are protected at the external system boundary.,,,
System and Communications Protection,3.13.1[h],03.13.01.h,,communications are protected at key internal boundaries.,,,
System and Communications Protection,3.13.2,03.13.02.0,"Employ architectural designs, software development techniques, and systems engineering principles that promote effective information security within organizational systems. ",Determine if:,[SELECT FROM: Security planning policy; procedures addressing security plan development and implementation; procedures addressing security plan reviews and updates; enterprise architecture documentation; security plan; records of security plan reviews and updates; other relevant documents or records]. ,[SELECT FROM: Personnel with security planning and plan implementation responsibilities; personnel with information security responsibilities]. ,"[SELECT FROM: Organizational processes for security plan development, review, update, and approval; mechanisms supporting the system security plan]. "
System and Communications Protection,3.13.2[a],03.13.02.a,,architectural designs that promote effective information security are identified.,,,
System and Communications Protection,3.13.2[b],03.13.02.b,,software development techniques that promote effective information security are identified.,,,
System and Communications Protection,3.13.2[c],03.13.02.c,,systems engineering principles that promote effective information security are identified.,,,
System and Communications Protection,3.13.2[d],03.13.02.d,,identified architectural designs that promote effective information security are employed.,,,
System and Communications Protection,3.13.2[e],03.13.02.e,,identified software development techniques that promote effective information security are employed.,,,
System and Communications Protection,3.13.2[f],03.13.02.f,,identified systems engineering principles that promote effective information security are employed.,,,
System and Communications Protection,3.13.3,03.13.03.0,Separate user functionality from system management functionality. ,Determine if:,[SELECT FROM: System and communications protection policy; procedures addressing application partitioning; system design documentation; system configuration settings and associated documentation; security plan; system audit logs and records; other relevant documents or records]. ,[SELECT FROM: System or network administrators; personnel with information security responsibilities; system developer]. ,[SELECT FROM: Separation of user functionality from system management functionality].
System and Communications Protection,3.13.3[a],03.13.03.a,,user functionality is identified.,,,
System and Communications Protection,3.13.3[b],03.13.03.b,,system management functionality is identified.,,,
System and Communications Protection,3.13.3[c],03.13.03.c,,user functionality is separated from system management functionality. ,,,
System and Communications Protection,3.13.4,03.13.04.0,Prevent unauthorized and unintended information transfer via shared system resources. ,Determine if unauthorized and unintended information transfer via shared system resources is prevented.,[SELECT FROM: System and communications protection policy; procedures addressing application partitioning; security plan; system design documentation; system configuration settings and associated documentation; system audit logs and records; other relevant documents or records]. ,[SELECT FROM: System or network administrators; personnel with information security responsibilities; system developer]. ,[SELECT FROM: Separation of user functionality from system management functionality].
